CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,Customer City
11106,Jessie,Liu,Liu Liu,Male,2021-05-18,Warrnambool
11107,Bianca,Lin,Lin Lin,Female,2021-05-01,St. Leonards
11108,Kari,Alvarez,Alvarez Alvarez,Female,2021-05-03,Port Macquarie
11109,Ruben,Kapoor,Kapoor Kapoor,Male,2021-05-10,South Melbourne
11110,Curtis,Yang,Yang Yang,Male,2021-05-01,Darlinghurst
11111,Meredith,Gutierrez,Gutierrez Gutierrez,Female,2021-05-20,Geelong
11112,Crystal,Wang,Wang Wang,Female,2021-05-25,Hervey Bay
11113,Micheal,Blanco,Blanco Blanco,Male,2023-02-01,Perth
11114,Leslie,Moreno,Moreno Moreno,Female,2023-03-18,Rhodes
11115,Alvin,Cai,Cai Cai,Male,2023-02-10,St. Leonards
11116,Clinton,Carlson,Carlson Carlson,Male,2023-03-15,Sydney
11117,April,Deng,Deng Deng,Female,2021-05-06,Matraville
11118,Alvin,Zeng,Zeng Zeng,Male,2023-07-10,Lavender Bay
11119,Evan,James,James James,Male,2023-02-03,Port Macquarie
11120,Beth,Jiménez,Jiménez Jiménez,Female,2021-05-14,Sydney
11121,Orlando,Suarez,Suarez Suarez,Male,2023-06-24,Newcastle
11122,Byron,Vazquez,Vazquez Vazquez,Male,2023-02-21,North Sydney
11123,Philip,Alvarez,Alvarez Alvarez,Male,2023-04-17,Sunbury
11124,Ross,Jordan,Jordan Jordan,Male,2021-05-05,Warrnambool
11125,Dana,Navarro,Navarro Navarro,Female,2023-01-31,Seaford
11126,Shaun,Carson,Carson Carson,Male,2021-05-28,North Ryde
11127,Jan,Edwards,Edwards Edwards,Female,2023-04-10,San Gabriel
11128,Samantha,Long,Long Long,Female,2023-06-19,Renton
11129,Julia,Wright,Wright Wright,Female,2021-08-06,Sedro Woolley
11130,Caroline,Russell,Russell Russell,Female,2023-12-09,Lebanon
11131,Amanda,Rivera,Rivera Rivera,Female,2023-10-18,Haney
11132,Melissa,Richardson,Richardson Richardson,Female,2023-04-09,Langford
11133,Angela,Griffin,Griffin Griffin,Female,2023-12-30,Lake Oswego
11134,Larry,Townsend,Townsend Townsend,Male,2021-05-03,Perth
11135,Marcus,Harris,Harris Harris,Male,2023-04-18,Burlingame
11136,Brianna,Morgan,Morgan Morgan,Female,2023-01-03,Metchosin
11137,Jasmine,Taylor,Taylor Taylor,Female,2023-07-31,Spokane
11138,Lauren,Davis,Davis Davis,Female,2023-09-19,Glendale
11139,Tanya,Moreno,Moreno Moreno,Female,2023-09-14,Cloverdale
11140,Javier,Alvarez,Alvarez Alvarez,Male,2023-03-19,Burbank
11141,Nicole,Ramirez,Ramirez Ramirez,Female,2023-05-16,Daly City
11142,Eduardo,Patterson,Patterson Patterson,Male,2023-02-13,Langford
11143,Jonathan,Henderson,Henderson Henderson,Male,2023-06-15,Lakewood
11144,Edward,Hernandez,Hernandez Hernandez,Male,2023-01-25,Ballard
11145,Jasmine,Coleman,Coleman Coleman,Female,2023-01-25,Beaverton
11146,Karla,Goel,Goel Goel,Female,2023-02-05,Matraville
11147,Ernest,Wu,Wu Wu,Male,2021-05-13,Warrnambool
11148,Ross,Vazquez,Vazquez Vazquez,Male,2023-03-07,East Brisbane
11149,Theodore,Gill,Gill Gill,Male,2023-06-04,Hervey Bay
11150,Russell,Shen,Shen Shen,Male,2023-03-27,Sunbury
11151,Melinda,Gill,Gill Gill,Female,2021-05-15,Sydney
11152,James,Williams,Williams Williams,Male,2023-01-09,Puyallup
11153,Angela,James,James James,Female,2023-03-29,Renton
11154,Megan,Walker,Walker Walker,Female,2023-01-10,Woodburn
11155,Hunter,Robinson,Robinson Robinson,Male,2023-01-06,Burbank
11156,Maria,Roberts,Roberts Roberts,Female,2023-01-08,Lakewood
11157,Hannah,Long,Long Long,Female,2023-07-24,Tacoma
11158,Jason,Wright,Wright Wright,Male,2023-01-19,San Gabriel
11159,Brianna,Hughes,Hughes Hughes,Female,2023-09-08,Woodland Hills
11160,Maurice,Tang,Tang Tang,Male,2023-02-21,Concord
11161,Emily,Wood,Wood Wood,Female,2023-06-01,Concord
11162,Chase,Cox,Cox Cox,Male,2023-02-18,La Jolla
11163,Gabriel,Wang,Wang Wang,Male,2023-05-01,Spring Valley
11164,Devin,Brooks,Brooks Brooks,Male,2023-04-27,Torrance
11165,Jocelyn,Alexander,Alexander Alexander,Female,2023-05-25,Oakland
11166,Ashley,Martinez,Martinez Martinez,Female,2023-10-14,Olympia
11167,Jasmine,Barnes,Barnes Barnes,Female,2023-01-07,Issaquah
11168,David,Rodriguez,Rodriguez Rodriguez,Male,2023-01-15,Oakland
11169,Bryce,Richardson,Richardson Richardson,Male,2023-05-26,Coronado
11170,Carol,Howard,Howard Howard,Female,2023-08-26,Burien
11171,Jonathan,Hill,Hill Hill,Male,2021-08-20,Woodland Hills
11172,Gabrielle,Adams,Adams Adams,Female,2023-05-03,Lynnwood
11173,Sarah,Thomas,Thomas Thomas,Female,2023-03-02,W. Linn
11174,Nicholas,Robinson,Robinson Robinson,Male,2023-07-13,Los Angeles
11175,Luis,Wang,Wang Wang,Male,2021-08-28,Beverly Hills
11176,Mason,Roberts,Roberts Roberts,Male,2023-02-02,Haney
11177,Jose,Flores,Flores Flores,Male,2023-03-29,San Diego
11178,Nathan,Johnson,Johnson Johnson,Male,2023-02-21,Lakewood
11179,Molly,Rodriguez,Rodriguez Rodriguez,Female,2023-03-12,Beverly Hills
11180,April,Anand,Anand Anand,Female,2023-03-17,Chula Vista
11181,Devin,Martin,Martin Martin,Male,2023-05-07,Los Angeles
11182,Stephanie,Torres,Torres Torres,Female,2023-08-28,Sedro Woolley
11183,Jasmine,Lee,Lee Lee,Female,2023-04-30,Santa Cruz
11184,Meghan,Hernandez,Hernandez Hernandez,Female,2023-08-10,Concord
11185,Ashley,Henderson,Henderson Henderson,Female,2023-02-21,Metchosin
11186,Sarah,Price,Price Price,Female,2023-10-18,Palo Alto
11187,Jennifer,Cooper,Cooper Cooper,Female,2023-04-03,Burien
11188,Catherine,Morris,Morris Morris,Female,2023-11-01,San Gabriel
11189,Lawrence,Blanco,Blanco Blanco,Male,2021-08-26,Bellingham
11190,Carson,Bryant,Bryant Bryant,Male,2023-08-28,Beverly Hills
11191,Kristi,Perez,Perez Perez,Female,2021-08-11,Colma
11192,James,Brown,Brown Brown,Male,2023-06-23,Seattle
11193,Ian,Gray,Gray Gray,Male,2023-02-25,Woodburn
11194,Jacqueline,Price,Price Price,Female,2023-03-13,Palo Alto
11195,Megan,Henderson,Henderson Henderson,Female,2023-04-14,Renton
11196,Alfredo,Romero,Romero Romero,Male,2023-03-03,Beaverton
11197,Andrea,Morris,Morris Morris,Female,2023-05-02,Seattle
11198,Brooke,Sanders,Sanders Sanders,Female,2023-02-05,Santa Cruz
11199,Jacqueline,Bennett,Bennett Bennett,Female,2023-03-18,Burlingame
11200,Jason,Griffin,Griffin Griffin,Male,2023-02-07,Victoria
11201,Amanda,Foster,Foster Foster,Female,2023-07-01,Santa Monica
11202,Alexia,Price,Price Price,Female,2023-09-15,Lakewood
11203,Luis,Diaz,Diaz Diaz,Male,2023-02-20,Port Hammond
11204,Destiny,Rivera,Rivera Rivera,Female,2023-08-09,Beaverton
11205,Abby,Fernandez,Fernandez Fernandez,Female,2023-07-27,Burien
11206,Blake,Flores,Flores Flores,Male,2023-05-11,Lynnwood
11207,Danielle,Cox,Cox Cox,Female,2023-01-31,Renton
11208,Maria,Reed,Reed Reed,Female,2023-03-04,Glendale
11209,Allison,Evans,Evans Evans,Female,2023-03-25,Lincoln Acres
11210,Edward,Wood,Wood Wood,Male,2023-05-06,West Covina
11211,Samantha,Russell,Russell Russell,Female,2023-02-01,Haney
11212,Chloe,Campbell,Campbell Campbell,Female,2023-01-30,Metchosin
11213,Stephanie,Murphy,Murphy Murphy,Female,2023-03-28,Edmonds
11214,Charles,Miller,Miller Miller,Male,2023-08-14,Milwaukie
11215,Ana,Perry,Perry Perry,Female,2023-02-15,Royal Oak
11216,Jasmine,Torres,Torres Torres,Female,2021-08-15,Portland
11217,Natalie,Adams,Adams Adams,Female,2021-08-10,Portland
11218,Olivia,Brown,Brown Brown,Female,2023-02-28,Tacoma
11219,Charles,Cook,Cook Cook,Male,2023-10-29,Woodburn
11220,Erica,Huang,Huang Huang,Female,2023-03-14,Colma
11221,Nathan,Perry,Perry Perry,Male,2023-04-07,Lakewood
11222,Alexandra,Rivera,Rivera Rivera,Female,2023-11-01,Santa Monica
11223,Hailey,Patterson,Patterson Patterson,Female,2023-01-29,Langley
11224,Tiffany,Li,Li Li,Female,2021-08-07,Burien
11225,Madison,Lee,Lee Lee,Female,2023-06-22,Renton
11226,Sydney,Ross,Ross Ross,Female,2023-02-21,W. Linn
11227,Marshall,Chavez,Chavez Chavez,Male,2021-08-03,Colma
11228,Ashley,Jones,Jones Jones,Female,2023-10-25,El Cajon
11229,Adrian,Stewart,Stewart Stewart,Male,2023-07-27,Redwood City
11230,Amber,Turner,Turner Turner,Female,2023-07-16,Santa Monica
11231,Dennis,Zhang,Zhang Zhang,Male,2023-02-10,Bremerton
11232,Hailey,Bryant,Bryant Bryant,Female,2023-09-20,Everett
11233,Todd,Li,Li Li,Male,2023-02-08,Berkeley
11234,Anna,Griffin,Griffin Griffin,Female,2023-02-08,Long Beach
11235,Angel,Stewart,Stewart Stewart,Male,2023-07-04,Ballard
11236,Jeremy,Butler,Butler Butler,Male,2023-10-03,Bellingham
11237,Clarence,Anand,Anand Anand,Male,2021-09-05,Solingen
11238,Mayra,Prasad,Prasad Prasad,Female,2021-01-06,Birmingham
11239,Latoya,Goel,Goel Goel,Female,2021-01-19,London
11240,Anne,Hernandez,Hernandez Hernandez,Female,2021-02-27,Watford
11241,Lisa,Cai,Cai Cai,Female,2022-09-10,Les Ulis
11242,Larry,Munoz,Munoz Munoz,Male,2022-09-19,Versailles
11243,Robin,Alvarez,Alvarez Alvarez,Female,2021-02-21,Esher-Molesey
11244,Alexis,Coleman,Coleman Coleman,Female,2021-02-12,Runcorn
11245,Ricky,Vazquez,Vazquez Vazquez,Male,2021-09-26,Hamburg
11246,Latasha,Rubio,Rubio Rubio,Female,2021-10-03,Hamburg
11247,Claudia,Zhou,Zhou Zhou,Female,2021-02-18,Lancaster
11248,Tristan,Alexander,Alexander Alexander,Male,2023-07-14,Saint-Denis
11249,Cindy,Patel,Patel Patel,Female,2021-10-09,Sulzbach Taunus
11250,Shannon,Liu,Liu Liu,Female,2021-03-17,Woolston
11251,Xavier,Long,Long Long,Male,2023-10-18,Haney
11252,Nicholas,Thompson,Thompson Thompson,Male,2021-08-14,Lemon Grove
11253,José,Hernandez,Hernandez Hernandez,Male,2023-03-01,Victoria
11254,Johnathan,Vance,Vance Vance,Male,2023-11-23,Burien
11255,Colin,Lin,Lin Lin,Male,2023-02-23,Burien
11256,Katelyn,Hernandez,Hernandez Hernandez,Female,2023-04-15,Lynnwood
11257,Jacqueline,Powell,Powell Powell,Female,2021-08-24,Newport Beach
11258,Xavier,Hill,Hill Hill,Male,2023-05-21,Palo Alto
11259,Victoria,Stewart,Stewart Stewart,Female,2021-09-04,Salem
11260,Katelyn,Kelly,Kelly Kelly,Female,2023-02-05,Burlingame
11261,Stephanie,Collins,Collins Collins,Female,2021-09-27,San Diego
11262,Jennifer,Simmons,Simmons Simmons,Female,2023-02-27,Port Hammond
11263,Trinity,Richardson,Richardson Richardson,Female,2021-08-29,Burien
11264,Eduardo,Martin,Martin Martin,Male,2023-01-02,Issaquah
11265,Elizabeth,Jones,Jones Jones,Female,2023-01-03,Kirkland
11266,Taylor,Howard,Howard Howard,Female,2021-09-10,Port Orchard
11267,David,Diaz,Diaz Diaz,Male,2021-09-17,Burlingame
11268,Katelyn,Carter,Carter Carter,Female,2023-05-29,Coronado
11269,Ryan,Foster,Foster Foster,Male,2023-08-22,Daly City
11270,Robert,Lee,Lee Lee,Male,2021-09-10,Lakewood
11271,Danielle,Reed,Reed Reed,Female,2021-09-27,San Francisco
11272,Lauren,Martinez,Martinez Martinez,Female,2021-09-19,Beverly Hills
11273,Nathan,Lal,Lal Lal,Male,2023-05-14,La Jolla
11274,Kyle,Foster,Foster Foster,Male,2021-08-29,Bellingham
11275,Jenny,Rai,Rai Rai,Female,2021-08-30,Colma
11276,Nancy,Chapman,Chapman Chapman,Female,2023-01-29,Cliffside
11277,Charles,Jackson,Jackson Jackson,Male,2023-02-02,Royal Oak
11278,Jonathan,Phillips,Phillips Phillips,Male,2021-09-16,Edmonds
11279,Amanda,Cook,Cook Cook,Female,2023-03-03,Everett
11280,Robert,Collins,Collins Collins,Male,2023-07-01,Lynnwood
11281,Megan,Barnes,Barnes Barnes,Female,2021-09-13,Burbank
11282,Christian,Thomas,Thomas Thomas,Male,2021-08-31,Burien
11283,Arturo,Lal,Lal Lal,Male,2023-05-29,Berkeley
11284,Theresa,Serrano,Serrano Serrano,Female,2023-02-06,Chula Vista
11285,Jeremy,Anderson,Anderson Anderson,Male,2023-07-27,Fremont
11286,Hunter,Griffin,Griffin Griffin,Male,2021-09-21,Torrance
11287,Henry,Garcia,Garcia Garcia,Male,2023-01-29,Cliffside
11288,Cindy,Sanchez,Sanchez Sanchez,Female,2023-03-05,Burbank
11289,Maria,Carter,Carter Carter,Female,2021-09-08,Downey
11290,Katelyn,Sanchez,Sanchez Sanchez,Female,2021-09-20,Lakewood
11291,Jenna,Wright,Wright Wright,Female,2021-09-04,Lemon Grove
11292,Seth,Phillips,Phillips Phillips,Male,2021-09-15,San Gabriel
11293,Luke,Long,Long Long,Male,2023-02-24,Port Orchard
11294,Dalton,Clark,Clark Clark,Male,2023-09-25,Issaquah
11295,Taylor,Lewis,Lewis Lewis,Female,2021-09-25,Concord
11296,Haley,Richardson,Richardson Richardson,Female,2021-09-01,Everett
11297,Noah,Coleman,Coleman Coleman,Male,2021-09-26,Burbank
11298,Jon,Luo,Luo Luo,Male,2021-09-12,Chula Vista
11299,Orlando,Vazquez,Vazquez Vazquez,Male,2021-09-26,Burbank
11300,Fernando,Barnes,Barnes Barnes,Male,2023-01-31,N. Vancouver
11301,Cameron,Rodriguez,Rodriguez Rodriguez,Male,2023-06-09,Ballard
11302,Spencer,Russell,Russell Russell,Male,2021-09-06,Corvallis
11303,Julia,Coleman,Coleman Coleman,Female,2021-09-02,Edmonds
11304,Julia,Garcia,Garcia Garcia,Female,2023-03-20,Portland
11305,Sean,Evans,Evans Evans,Male,2023-03-25,Chula Vista
11306,Micah,Zhou,Zhou Zhou,Male,2023-06-30,Coronado
11307,Hunter,Rodriguez,Rodriguez Rodriguez,Male,2021-09-04,Daly City
11308,Ian,Gonzales,Gonzales Gonzales,Male,2023-09-07,Oregon City
11309,Victoria,Lewis,Lewis Lewis,Female,2023-07-09,Beaverton
11310,Erin,Sanders,Sanders Sanders,Female,2023-08-12,San Francisco
11311,Gabrielle,Lopez,Lopez Lopez,Female,2023-04-18,Lynnwood
11312,Sara,Richardson,Richardson Richardson,Female,2023-05-17,Lynnwood
11313,Trevor,Jenkins,Jenkins Jenkins,Male,2023-05-07,Port Orchard
11314,Mya,Flores,Flores Flores,Female,2023-02-25,Issaquah
11315,Hailey,Ward,Ward Ward,Female,2023-05-20,Port Orchard
11316,Luke,Allen,Allen Allen,Male,2023-01-12,Langford
11317,Victoria,Russell,Russell Russell,Female,2021-09-01,Salem
11318,Jessica,Wilson,Wilson Wilson,Female,2023-10-17,Edmonds
11319,Jade,Bailey,Bailey Bailey,Female,2021-09-09,Oakland
11320,Morgan,Hill,Hill Hill,Female,2023-06-15,Glendale
11321,Terrance,Raman,Raman Raman,Male,2023-02-23,Burien
11322,Sydney,Garcia,Garcia Garcia,Female,2023-03-24,Bremerton
11323,Jose,Patterson,Patterson Patterson,Male,2021-09-10,Daly City
11324,Zachary,Anderson,Anderson Anderson,Male,2021-09-26,Glendale
11325,Elijah,Ross,Ross Ross,Male,2021-09-19,Seattle
11326,Rafael,Xie,Xie Xie,Male,2021-09-15,Beverly Hills
11327,Jaime,Moreno,Moreno Moreno,Male,2021-09-26,Burbank
11328,Julian,Griffin,Griffin Griffin,Male,2023-01-05,Newton
11329,Andy,Alvarez,Alvarez Alvarez,Male,2021-09-25,Concord
11330,Ryan,Thompson,Thompson Thompson,Male,2023-02-12,Oak Bay
11331,Samantha,Jenkins,Jenkins Jenkins,Female,2023-02-07,Shawnee
11332,Deanna,Ramos,Ramos Ramos,Female,2021-10-15,Berlin
11333,Emily,Miller,Miller Miller,Female,2021-03-21,Newcastle upon Tyne
11334,Nicole,Brown,Brown Brown,Female,2021-03-04,Stoke-on-Trent
11335,Carla,Raman,Raman Raman,Female,2021-10-23,Hof
11336,Shaun,Raji,Raji Raji,Male,2022-09-27,Paris
11337,Jerome,Romero,Romero Romero,Male,2021-03-09,Watford
11338,Frank,Navarro,Navarro Navarro,Male,2021-10-11,Bonn
11339,Dennis,She,She She,Male,2022-10-07,Paris
11340,Melody,Munoz,Munoz Munoz,Female,2022-10-27,Paris
11341,Randy,Zeng,Zeng Zeng,Male,2021-04-11,Cheltenham
11342,Marshall,Wang,Wang Wang,Male,2023-07-12,Boulogne-sur-Mer
11343,Arthur,Carlson,Carlson Carlson,Male,2021-04-04,Oxon
11344,Jessie,Jimenez,Jimenez Jimenez,Female,2021-05-13,Oxford
11345,Robin,Ramos,Ramos Ramos,Female,2022-10-22,Tremblay-en-France
11346,Deanna,Gutierrez,Gutierrez Gutierrez,Female,2022-10-01,Paris
11347,Roy,Navarro,Navarro Navarro,Male,2023-03-16,Braunschweig
11348,Shawn,Rai,Rai Rai,Male,2023-03-31,Paderborn
11349,Mindy,Luo,Luo Luo,Female,2024-01-13,München
11350,Cara,Zhou,Zhou Zhou,Female,2023-02-05,Peterborough
11351,Anne,Ramos,Ramos Ramos,Female,2021-06-12,London
11352,Raymond,Rodriguez,Rodriguez Rodriguez,Male,2023-05-01,Pantin
11353,Carrie,Ortega,Ortega Ortega,Female,2021-06-12,Warrington
11354,Deanna,Suarez,Suarez Suarez,Female,2023-12-03,Grevenbroich
11355,Roberto,Gutierrez,Gutierrez Gutierrez,Male,2023-09-26,Wokingham
11356,Terrence,Carson,Carson Carson,Male,2021-05-10,Lavender Bay
11357,Ramon,Ye,Ye Ye,Male,2021-06-18,Caloundra
11358,Cynthia,Malhotra,Malhotra Malhotra,Female,2021-06-28,Coffs Harbour
11359,Jarrod,Prasad,Prasad Prasad,Male,2021-06-13,Malabar
11360,Tyrone,Serrano,Serrano Serrano,Male,2021-06-27,Rockhampton
11361,Cindy,Ramos,Ramos Ramos,Female,2023-10-01,Newcastle
11362,Damien,Shan,Shan Shan,Male,2023-03-29,Cranbourne
11363,Julian,Ross,Ross Ross,Male,2021-06-08,Melbourne
11364,Jennifer,Collins,Collins Collins,Female,2021-06-07,Geelong
11365,Brittney,Sun,Sun Sun,Female,2021-05-31,Findon
11366,Virginia,Patel,Patel Patel,Female,2023-06-24,Seaford
11367,Calvin,Nara,Nara Nara,Male,2023-07-07,North Sydney
11368,Edward,Miller,Miller Miller,Male,2021-06-24,Rockhampton
11369,Ashlee,Tang,Tang Tang,Female,2023-07-05,Findon
11370,Alicia,Xu,Xu Xu,Female,2023-07-13,South Melbourne
11371,Lacey,Jai,Jai Jai,Female,2023-11-07,Rockhampton
11372,Wendy,Romero,Romero Romero,Female,2021-06-07,Brisbane
11373,Carly,Luo,Luo Luo,Female,2023-08-27,Salzgitter
11374,Jimmy,Ortega,Ortega Ortega,Male,2023-04-15,Werne
11375,Francisco,Martinez,Martinez Martinez,Male,2023-10-17,High Wycombe
11376,Lance,Vazquez,Vazquez Vazquez,Male,2023-10-15,Liverpool
11377,David,Robinett,Robinett Robinett,Male,2023-02-28,Solingen
11378,Shannon,Liang,Liang Liang,Female,2022-10-17,Metz
11379,Gary,Vazquez,Vazquez Vazquez,Male,2022-10-02,Boulogne-Billancourt
11380,Mitchell,Kumar,Kumar Kumar,Male,2021-10-11,Saarlouis
